"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2018 in 1000 USD ","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H5","AGO"," Total","Angola","CAF","Central African Republic","Import",5,0.009,0.988,,0.08,1.131,
"H5","AGO"," Total","Angola","CAN","Canada","Export",6,647164.297,39051.59,103601.319,407356.591,1124082.934,
"H5","AGO"," Total","Angola","CAN","Canada","Import",5,88066.424,81466.738,92788.005,86657.776,243902.771,
"H5","AGO"," Total","Angola","CCK","Cocos (Keeling) Islands","Import",5,,0.041,,0.755,,
"H5","AGO"," Total","Angola","CHE","Switzerland","Export",6,60759.061,15315.643,787.825,125.634,161.675,
"H5","AGO"," Total","Angola","CHE","Switzerland","Import",5,31934.631,26211.891,38638.799,12297.411,33478.988,
"H5","AGO"," Total","Angola","CHL","Chile","Export",6,1186.577,174179.663,85872.019,518264.559,395467.341,
"H5","AGO"," Total","Angola","CHL","Chile","Import",5,7354.887,1213.715,1632.432,5692.857,2194.899,
"H5","AGO"," Total","Angola","CHN","China","Export",6,24512124.128,21536450.085,13215409.955,20058019.571,21904074.639,
"H5","AGO"," Total","Angola","CHN","China","Import",5,2331088.266,2026227.176,1434634.811,1688200.445,2846240.33,
"H5","AGO"," Total","Angola","CIV","Cote d'Ivoire","Export",6,16569.588,2347.018,466.813,16167.06,14033.318,
"H5","AGO"," Total","Angola","CIV","Cote d'Ivoire","Import",5,11256.5,2166.377,2735.328,3953.013,8217.821,
"H5","AGO"," Total","Angola","CMR","Cameroon","Export",6,19947.649,1357.162,4668.289,10366.673,2511.989,
"H5","AGO"," Total","Angola","CMR","Cameroon","Import",5,346.865,232.355,875.528,4798.404,2194.874,
"H5","AGO"," Total","Angola","COG","Congo, Rep.","Export",6,12894.703,11260.24,14499.463,26844.695,27357.449,
"H5","AGO"," Total","Angola","COG","Congo, Rep.","Import",5,3095.149,9667.138,7153.915,10985.329,12101.614,
"H5","AGO"," Total","Angola","COK","Cook Islands","Import",5,,3.056,,0.94,0.235,
"H5","AGO"," Total","Angola","COL","Colombia","Export",6,112.588,165.959,20.944,35.022,4.901,
"H5","AGO"," Total","Angola","COL","Colombia","Import",5,1146.398,2417.034,1196.076,1663.209,4277.507,
"H5","AGO"," Total","Angola","COM","Comoros","Export",6,,,,,2.679,
"H5","AGO"," Total","Angola","COM","Comoros","Import",5,,,,,0.557,
"H5","AGO"," Total","Angola","CPV","Cape Verde","Export",6,143.67,147.71,141.564,36.451,15.545,
"H5","AGO"," Total","Angola","CPV","Cape Verde","Import",5,179.34,106.719,29.808,9964.804,289.071,
"H5","AGO"," Total","Angola","CRI","Costa Rica","Export",6,,,,4.742,,
"H5","AGO"," Total","Angola","CRI","Costa Rica","Import",5,781.491,91.626,445.214,45.559,51.008,
"H5","AGO"," Total","Angola","CUB","Cuba","Export",6,995.086,2058.561,1290.074,714.62,1514.573,
"H5","AGO"," Total","Angola","CUB","Cuba","Import",5,450.118,521.135,1045.869,456.194,100.237,
"H5","AGO"," Total","Angola","CUW","Curaçao","Export",6,51.246,30.382,,0.013,,
"H5","AGO"," Total","Angola","CUW","Curaçao","Import",5,315.538,93.676,177.815,41.267,401.124,
"H5","AGO"," Total","Angola","CXR","Christmas Island","Import",5,0.763,,,,,
"H5","AGO"," Total","Angola","CYM","Cayman Islands","Export",6,,0,0,0,,
"H5","AGO"," Total","Angola","CYM","Cayman Islands","Import",5,2184.477,679.759,614.534,95.819,72.675,
"H5","AGO"," Total","Angola","CYP","Cyprus","Export",6,1.432,800.594,0,86.194,22.636,
"H5","AGO"," Total","Angola","CYP","Cyprus","Import",5,1250.597,4968.99,232.913,1057.878,1234.353,
"H5","AGO"," Total","Angola","CZE","Czech Republic","Export",6,268.033,437.452,29.932,9829.34,20960.537,
"H5","AGO"," Total","Angola","CZE","Czech Republic","Import",5,3722.27,2948.859,15727.838,8874.343,7225.552,
